t	j1	j2	j3	j4	j5	grip	ref1	ref2	ref3	ref4	ref5	refg	u1	u2	u3	u4	u5	u6
0.00	15.7	0.8	-15.2	-1.1	-1.2	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.6	0.0	0.0	0.0
0.10	15.7	0.8	-15.2	-1.1	-1.2	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
0.20	15.1	0.8	-14.6	-2.0	-1.3	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
0.30	15.1	0.8	-14.6	-2.0	-1.3	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.5	0.0	0.0	0.0
0.40	14.9	0.8	-14.3	-1.6	-1.3	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.5	0.0	0.0	0.0
0.50	14.9	0.8	-14.3	-1.6	-1.3	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.4	0.0	0.0	0.0
0.60	15.0	1.0	-14.7	-1.0	-0.8	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.4	0.0	0.0	0.0
0.70	15.0	1.0	-14.7	-1.0	-0.8	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.2	0.0	0.0	0.0
0.80	15.4	0.9	-15.3	-1.3	-1.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.2	0.0	0.0	0.0
0.90	15.4	0.9	-15.3	-1.3	-1.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	0.0
1.00	15.4	1.1	-15.5	-1.4	-0.8	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	0.0
1.10	15.4	1.1	-15.5	-1.4	-0.8	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.8	0.0	0.0	0.0
1.20	14.7	0.9	-15.5	-2.1	-1.6	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.8	0.0	0.0	0.0
1.30	14.7	0.9	-15.5	-2.1	-1.6	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.7	0.0	0.0	0.0
1.40	14.8	0.8	-14.8	-1.5	-1.0	51.3	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.7	0.0	0.0	0.0
1.50	14.8	0.8	-14.8	-1.5	-1.0	51.3	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.0
1.60	15.2	0.8	-14.5	-1.8	-1.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.0
1.70	15.2	0.8	-14.5	-1.8	-1.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.9	0.0	0.0	0.0
1.80	15.9	1.0	-14.2	-1.4	-0.8	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.9	0.0	0.0	0.0
1.90	15.9	1.0	-14.2	-1.4	-0.8	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.8	0.0	0.0	0.0
2.00	15.5	1.2	-15.1	-1.7	-1.0	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.8	0.0	0.0	0.0
2.10	15.5	1.2	-15.1	-1.7	-1.0	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0
2.20	15.2	1.0	-15.9	-1.5	-0.8	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0
2.30	15.2	1.0	-15.9	-1.5	-0.8	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	5.1	0.0	0.0	0.0
2.40	15.7	1.1	-15.7	-1.5	-1.3	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	5.1	0.0	0.0	0.0
2.50	15.7	1.1	-15.7	-1.5	-1.3	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0
2.60	15.8	1.1	-14.9	-1.0	-0.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0
2.70	15.8	1.1	-14.9	-1.0	-0.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.5	0.0	0.0	0.0
2.80	15.1	1.3	-14.2	-1.4	-0.5	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.5	0.0	0.0	0.0
2.90	15.1	1.3	-14.2	-1.4	-0.5	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.8	0.0	0.0	0.0
3.00	15.2	1.3	-14.1	-0.9	-0.3	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.8	0.0	0.0	0.0
3.10	15.2	1.3	-14.1	-0.9	-0.3	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.9	0.0	0.0	0.0
3.20	15.7	1.1	-15.4	-0.8	-0.8	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.9	0.0	0.0	0.0
3.30	15.7	1.1	-15.4	-0.8	-0.8	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.4	0.0	0.0	0.0
3.40	15.5	1.2	-15.9	-0.9	-0.3	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.4	0.0	0.0	0.0
